year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2006,12,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",306.00,75.00,23.78,4.90,18.75,0.00,27.58,25.00,5.00,4102.00,1138.00,281.00,777.00,0.00,1906.00
2006,12,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",681.00,182.00,51.23,11.55,44.55,0.50,74.17,21.00,1.00,9658.00,2655.00,674.00,1810.00,68.00,4451.00
2006,12,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",781.00,253.00,82.68,18.90,51.86,0.00,99.56,17.00,0.00,14028.00,4410.00,1071.00,1998.00,0.00,6549.00
2006,12,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",155.00,36.00,14.55,1.92,5.04,0.00,14.49,1.00,0.00,1928.00,726.00,121.00,140.00,0.00,941.00
2006,12,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",119.00,37.00,12.42,2.82,4.16,0.00,17.60,4.00,0.00,2518.00,659.00,250.00,318.00,0.00,1291.00
2006,12,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",444.00,120.00,38.68,7.11,26.90,0.83,46.47,9.00,1.00,7108.00,2181.00,444.00,984.00,48.00,3451.00
2006,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1055.00,234.00,74.34,9.10,59.45,0.00,91.10,39.00,0.00,12390.00,3686.00,682.00,2178.00,0.00,5844.00
2006,12,AA,American Airlines Inc.,BUR,"Burbank, CA: Bob Hope",117.00,25.00,12.41,2.45,2.08,0.00,8.06,2.00,0.00,1418.00,683.00,109.00,74.00,0.00,552.00
2006,12,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",323.00,56.00,30.16,5.45,5.30,0.00,15.09,6.00,0.00,3184.00,1466.00,299.00,272.00,0.00,1147.00
2006,12,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",147.00,34.00,9.27,4.68,7.66,0.00,12.39,2.00,0.00,1875.00,573.00,233.00,365.00,0.00,704.00
