year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2009,12,9E,Pinnacle Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",88.00,21.00,9.89,0.00,7.11,0.00,4.00,2.00,0.00,791.00,317.00,0.00,254.00,0.00,220.00
2009,12,9E,Pinnacle Airlines Inc.,AEX,"Alexandria, LA: Alexandria International",58.00,19.00,3.25,1.38,10.60,0.00,3.77,2.00,1.00,917.00,307.00,95.00,304.00,0.00,211.00
2009,12,9E,Pinnacle Airlines Inc.,ALB,"Albany, NY: Albany International",97.00,28.00,11.67,0.88,11.24,0.00,4.21,0.00,1.00,1168.00,608.00,94.00,361.00,0.00,105.00
2009,12,9E,Pinnacle Airlines Inc.,ALO,"Waterloo, IA: Waterloo Regional",31.00,10.00,2.35,0.00,7.65,0.00,0.00,2.00,0.00,297.00,117.00,0.00,180.00,0.00,0.00
2009,12,9E,Pinnacle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1005.00,325.00,43.15,11.25,192.80,0.00,77.80,20.00,0.00,18908.00,3973.00,754.00,8746.00,0.00,5435.00
2009,12,9E,Pinnacle Airlines Inc.,ATW,"Appleton, WI: Appleton International",172.00,38.00,11.67,0.00,16.22,1.00,9.11,5.00,0.00,1545.00,535.00,0.00,430.00,16.00,564.00
2009,12,9E,Pinnacle Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",57.00,11.00,1.75,0.00,7.22,0.00,2.03,0.00,0.00,438.00,152.00,0.00,233.00,0.00,53.00
2009,12,9E,Pinnacle Airlines Inc.,AVL,"Asheville, NC: Asheville Regional",31.00,10.00,5.13,0.00,4.87,0.00,0.00,0.00,0.00,379.00,247.00,0.00,132.00,0.00,0.00
2009,12,9E,Pinnacle Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",88.00,21.00,10.53,0.83,4.99,0.00,4.65,1.00,2.00,1329.00,527.00,39.00,191.00,0.00,572.00
2009,12,9E,Pinnacle Airlines Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",144.00,32.00,8.63,1.00,17.76,0.00,4.61,18.00,0.00,1369.00,446.00,18.00,567.00,0.00,338.00
