year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2010,12,9E,Pinnacle Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",85.00,26.00,8.81,0.00,7.32,0.00,9.86,2.00,0.00,1446.00,677.00,0.00,236.00,0.00,533.00
2010,12,9E,Pinnacle Airlines Inc.,ABR,"Aberdeen, SD: Aberdeen Regional",2.00,1.00,0.00,0.00,0.56,0.00,0.44,1.00,0.00,54.00,0.00,0.00,30.00,0.00,24.00
2010,12,9E,Pinnacle Airlines Inc.,ALB,"Albany, NY: Albany International",161.00,52.00,25.66,0.82,15.07,0.00,10.45,19.00,1.00,2304.00,1276.00,18.00,502.00,0.00,508.00
2010,12,9E,Pinnacle Airlines Inc.,AMA,"Amarillo, TX: Rick Husband Amarillo International",57.00,10.00,4.96,0.00,4.44,0.00,0.60,0.00,0.00,345.00,202.00,0.00,116.00,0.00,27.00
2010,12,9E,Pinnacle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1195.00,290.00,67.38,5.21,76.48,0.00,140.93,103.00,4.00,17574.00,5104.00,598.00,3475.00,0.00,8397.00
2010,12,9E,Pinnacle Airlines Inc.,ATW,"Appleton, WI: Appleton International",74.00,24.00,8.49,1.43,8.13,0.00,5.95,9.00,0.00,1403.00,442.00,195.00,413.00,0.00,353.00
2010,12,9E,Pinnacle Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",47.00,14.00,6.05,0.00,4.62,0.00,3.33,1.00,1.00,503.00,180.00,0.00,125.00,0.00,198.00
2010,12,9E,Pinnacle Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",84.00,28.00,12.56,0.00,10.07,0.00,5.37,6.00,1.00,1533.00,772.00,0.00,405.00,0.00,356.00
2010,12,9E,Pinnacle Airlines Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",104.00,31.00,10.89,0.38,9.95,0.00,9.78,9.00,1.00,2273.00,1006.00,14.00,327.00,0.00,926.00
2010,12,9E,Pinnacle Airlines Inc.,BDL,"Hartford, CT: Bradley International",146.00,41.00,13.96,1.00,17.31,0.00,8.73,17.00,1.00,1772.00,743.00,93.00,478.00,0.00,458.00
2010,12,9E,Pinnacle Airlines Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",74.00,27.00,6.45,2.43,16.12,0.00,2.00,5.00,0.00,1062.00,461.00,103.00,454.00,0.00,44.00
2010,12,9E,Pinnacle Airlines Inc.,BGR,"Bangor, ME: Bangor International",32.00,12.00,3.74,0.00,8.26,0.00,0.00,1.00,1.00,436.00,94.00,0.00,342.00,0.00,0.00
2010,12,9E,Pinnacle Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",164.00,32.00,14.41,0.00,11.73,0.00,5.86,3.00,1.00,1435.00,878.00,0.00,358.00,0.00,199.00
2010,12,9E,Pinnacle Airlines Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",45.00,15.00,5.53,0.62,5.40,0.00,3.46,2.00,0.00,944.00,331.00,26.00,240.00,0.00,347.00
2010,12,9E,Pinnacle Airlines Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",62.00,17.00,6.86,0.00,5.40,0.00,4.74,4.00,0.00,849.00,262.00,0.00,251.00,0.00,336.00
2010,12,9E,Pinnacle Airlines Inc.,BNA,"Nashville, TN: Nashville International",177.00,36.00,13.03,0.00,13.14,0.00,9.84,15.00,1.00,2370.00,885.00,0.00,531.00,0.00,954.00
2010,12,9E,Pinnacle Airlines Inc.,BOS,"Boston, MA: Logan International",68.00,14.00,3.00,0.97,0.98,0.00,9.05,15.00,1.00,777.00,113.00,29.00,61.00,0.00,574.00
2010,12,9E,Pinnacle Airlines Inc.,BTV,"Burlington, VT: Burlington International",118.00,38.00,12.69,0.00,13.92,0.00,11.40,10.00,0.00,2578.00,875.00,0.00,584.00,0.00,1119.00
2010,12,9E,Pinnacle Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",190.00,54.00,18.30,2.78,18.02,0.00,14.90,17.00,0.00,3299.00,954.00,313.00,658.00,0.00,1374.00
2010,12,9E,Pinnacle Airlines Inc.,CAE,"Columbia, SC: Columbia Metropolitan",14.00,5.00,1.90,0.00,3.10,0.00,0.00,0.00,0.00,167.00,83.00,0.00,84.00,0.00,0.00
2010,12,9E,Pinnacle Airlines Inc.,CAK,"Akron, OH: Akron-Canton Regional",37.00,10.00,2.89,0.00,1.31,0.00,5.80,0.00,0.00,590.00,236.00,0.00,38.00,0.00,316.00
2010,12,9E,Pinnacle Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",43.00,16.00,6.03,0.00,3.16,0.00,6.81,3.00,0.00,1377.00,594.00,0.00,167.00,0.00,616.00
2010,12,9E,Pinnacle Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",76.00,16.00,4.92,1.34,6.20,0.00,3.55,9.00,0.00,730.00,150.00,104.00,240.00,0.00,236.00
2010,12,9E,Pinnacle Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",208.00,51.00,22.22,1.75,17.33,0.00,9.70,10.00,1.00,2960.00,1560.00,210.00,514.00,0.00,676.00
2010,12,9E,Pinnacle Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",76.00,17.00,5.57,0.00,3.78,0.00,7.64,9.00,0.00,1059.00,573.00,0.00,103.00,0.00,383.00
2010,12,9E,Pinnacle Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",201.00,61.00,24.90,0.52,20.83,0.00,14.75,13.00,0.00,3134.00,1319.00,16.00,649.00,0.00,1150.00
2010,12,9E,Pinnacle Airlines Inc.,COU,"Columbia, MO: Columbia Regional",89.00,19.00,4.84,0.00,6.57,0.00,7.59,5.00,0.00,899.00,191.00,0.00,182.00,0.00,526.00
2010,12,9E,Pinnacle Airlines Inc.,CRW,"Charleston/Dunbar, WV: Yeager",24.00,8.00,2.53,0.00,2.47,0.00,3.00,2.00,0.00,430.00,91.00,0.00,105.00,0.00,234.00
2010,12,9E,Pinnacle Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",585.00,163.00,46.43,4.81,57.56,0.00,54.20,43.00,10.00,10334.00,3927.00,598.00,2333.00,0.00,3476.00
2010,12,9E,Pinnacle Airlines Inc.,DAB,"Daytona Beach, FL: Daytona Beach International",12.00,3.00,1.55,0.84,0.61,0.00,0.00,0.00,0.00,317.00,66.00,196.00,55.00,0.00,0.00
2010,12,9E,Pinnacle Airlines Inc.,DAL,"Dallas, TX: Dallas Love Field",87.00,15.00,7.62,0.00,3.88,0.00,3.50,4.00,0.00,636.00,381.00,0.00,103.00,0.00,152.00
2010,12,9E,Pinnacle Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",157.00,36.00,13.78,0.61,14.22,0.00,7.38,8.00,0.00,2416.00,1063.00,167.00,600.00,0.00,586.00
2010,12,9E,Pinnacle Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",105.00,21.00,4.41,0.00,6.56,0.00,10.03,18.00,0.00,1238.00,310.00,0.00,195.00,0.00,733.00
2010,12,9E,Pinnacle Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",31.00,5.00,3.90,0.00,1.10,0.00,0.00,0.00,1.00,216.00,188.00,0.00,28.00,0.00,0.00
2010,12,9E,Pinnacle Airlines Inc.,DLH,"Duluth, MN: Duluth International",104.00,27.00,10.82,1.66,7.72,0.00,6.81,6.00,0.00,1865.00,752.00,177.00,281.00,0.00,655.00
2010,12,9E,Pinnacle Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",195.00,49.00,19.40,0.00,21.81,0.00,7.79,15.00,0.00,2157.00,944.00,0.00,673.00,0.00,540.00
2010,12,9E,Pinnacle Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4245.00,1282.00,229.88,28.04,451.73,1.09,571.26,310.00,7.00,75992.00,19431.00,2051.00,16303.00,35.00,38172.00
2010,12,9E,Pinnacle Airlines Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",36.00,5.00,1.76,0.00,2.24,0.00,1.00,1.00,0.00,286.00,193.00,0.00,41.00,0.00,52.00
2010,12,9E,Pinnacle Airlines Inc.,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",73.00,28.00,13.77,0.45,11.79,0.00,2.00,0.00,0.00,1716.00,963.00,21.00,534.00,0.00,198.00
2010,12,9E,Pinnacle Airlines Inc.,ERI,"Erie, PA: Erie International/Tom Ridge Field",74.00,23.00,11.83,1.91,5.86,0.00,3.39,2.00,0.00,1274.00,891.00,69.00,228.00,0.00,86.00
2010,12,9E,Pinnacle Airlines Inc.,EVV,"Evansville, IN: Evansville Regional",53.00,11.00,3.00,0.66,5.44,0.00,1.90,4.00,0.00,500.00,143.00,35.00,144.00,0.00,178.00
2010,12,9E,Pinnacle Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",49.00,17.00,7.38,0.00,7.11,0.00,2.51,10.00,0.00,1071.00,544.00,0.00,328.00,0.00,199.00
2010,12,9E,Pinnacle Airlines Inc.,FAR,"Fargo, ND: Hector International",17.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,36.00,0.00,0.00,36.00,0.00,0.00
2010,12,9E,Pinnacle Airlines Inc.,FNT,"Flint, MI: Bishop International",130.00,44.00,15.88,2.16,18.58,0.00,7.38,8.00,0.00,2570.00,1155.00,84.00,728.00,0.00,603.00
2010,12,9E,Pinnacle Airlines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",117.00,42.00,13.62,1.00,19.91,0.00,7.47,10.00,1.00,2220.00,896.00,28.00,867.00,0.00,429.00
