,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2014,12,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1313.0,351.0,76.55,2.92,177.24,0.82,93.47,1.0,0.0,17733.0,4545.0,90.0,6921.0,45.0,6132.0
1,2014,12,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2741.0,788.0,221.99,8.5,342.39,0.93,214.19,14.0,4.0,46366.0,17395.0,454.0,12084.0,20.0,16413.0
2,2014,12,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12878.0,2978.0,683.62,35.16,813.5,2.65,1443.07,154.0,38.0,205001.0,75746.0,3719.0,24982.0,75.0,100479.0
3,2014,12,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",917.0,445.0,64.98,3.68,298.87,0.0,77.47,15.0,8.0,29908.0,3501.0,241.0,19678.0,0.0,6488.0
4,2014,12,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",391.0,115.0,57.77,0.04,15.97,0.0,41.22,3.0,1.0,6152.0,3187.0,1.0,446.0,0.0,2518.0
5,2014,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",954.0,239.0,67.33,4.82,100.2,0.0,66.65,2.0,1.0,10326.0,3631.0,155.0,3186.0,0.0,3354.0
6,2014,12,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4258.0,761.0,193.9,7.82,200.22,0.41,358.65,25.0,4.0,40467.0,10591.0,406.0,5868.0,18.0,23584.0
7,2014,12,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",477.0,153.0,55.7,2.04,37.92,0.0,57.34,3.0,0.0,6659.0,2569.0,37.0,1288.0,0.0,2765.0
8,2014,12,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",212.0,46.0,20.58,0.0,6.5,0.0,18.92,7.0,0.0,1712.0,776.0,0.0,208.0,0.0,728.0
9,2014,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4258.0,959.0,294.53,6.14,364.32,0.67,293.33,8.0,9.0,51591.0,18844.0,195.0,11777.0,17.0,20758.0
10,2014,12,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",804.0,253.0,76.1,1.89,85.88,1.0,88.14,5.0,0.0,12909.0,3370.0,123.0,3963.0,18.0,5435.0
11,2014,12,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",414.0,101.0,41.8,0.0,30.83,0.0,28.37,0.0,0.0,4091.0,1952.0,0.0,918.0,0.0,1221.0
12,2014,12,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",549.0,119.0,45.1,1.18,25.04,0.0,47.69,1.0,0.0,5249.0,2027.0,47.0,752.0,0.0,2423.0
13,2014,12,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",337.0,89.0,30.19,0.0,40.13,0.0,18.68,7.0,1.0,4154.0,1172.0,0.0,1566.0,0.0,1416.0
14,2014,12,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",462.0,128.0,49.9,0.84,36.85,0.73,39.68,0.0,0.0,7393.0,3716.0,19.0,977.0,11.0,2670.0
15,2014,12,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",894.0,172.0,55.84,1.6,58.43,0.33,55.79,2.0,1.0,6668.0,2772.0,50.0,1588.0,6.0,2252.0
16,2014,12,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",165.0,78.0,27.96,0.0,12.84,0.0,37.2,1.0,0.0,4031.0,1331.0,0.0,479.0,0.0,2221.0
17,2014,12,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",350.0,39.0,18.64,0.12,8.67,0.0,11.57,0.0,0.0,1692.0,755.0,12.0,294.0,0.0,631.0
18,2014,12,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",926.0,251.0,99.65,0.57,63.33,0.96,86.5,2.0,0.0,12685.0,5208.0,17.0,2267.0,83.0,5110.0
19,2014,12,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",304.0,91.0,35.68,0.69,11.8,0.0,42.84,3.0,0.0,4760.0,2020.0,11.0,405.0,0.0,2324.0
20,2014,12,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",450.0,126.0,47.48,0.0,34.17,0.0,44.35,5.0,1.0,6290.0,2265.0,0.0,1245.0,0.0,2780.0
21,2014,12,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1256.0,291.0,70.34,0.52,147.37,2.71,70.06,7.0,5.0,14611.0,3474.0,27.0,7126.0,142.0,3842.0
