,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2010,12,9E,Pinnacle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1195.0,290.0,67.38,5.21,76.48,0.0,140.93,103.0,4.0,17574.0,5104.0,598.0,3475.0,0.0,8397.0
1,2010,12,9E,Pinnacle Airlines Inc.,BOS,"Boston, MA: Logan International",68.0,14.0,3.0,0.97,0.98,0.0,9.05,15.0,1.0,777.0,113.0,29.0,61.0,0.0,574.0
2,2010,12,9E,Pinnacle Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",76.0,17.0,5.57,0.0,3.78,0.0,7.64,9.0,0.0,1059.0,573.0,0.0,103.0,0.0,383.0
3,2010,12,9E,Pinnacle Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",105.0,21.0,4.41,0.0,6.56,0.0,10.03,18.0,0.0,1238.0,310.0,0.0,195.0,0.0,733.0
4,2010,12,9E,Pinnacle Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",31.0,5.0,3.9,0.0,1.1,0.0,0.0,0.0,1.0,216.0,188.0,0.0,28.0,0.0,0.0
5,2010,12,9E,Pinnacle Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4245.0,1282.0,229.88,28.04,451.73,1.09,571.26,310.0,7.0,75992.0,19431.0,2051.0,16303.0,35.0,38172.0
6,2010,12,9E,Pinnacle Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",49.0,17.0,7.38,0.0,7.11,0.0,2.51,10.0,0.0,1071.0,544.0,0.0,328.0,0.0,199.0
7,2010,12,9E,Pinnacle Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",125.0,15.0,8.68,1.0,2.38,0.0,2.94,7.0,2.0,901.0,594.0,19.0,63.0,0.0,225.0
8,2010,12,9E,Pinnacle Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",547.0,156.0,32.45,7.43,65.23,0.0,50.88,83.0,3.0,12889.0,3035.0,1459.0,4006.0,0.0,4389.0
9,2010,12,9E,Pinnacle Airlines Inc.,LGA,"New York, NY: LaGuardia",86.0,21.0,3.19,0.0,6.94,0.0,10.86,17.0,0.0,1170.0,286.0,0.0,230.0,0.0,654.0
10,2010,12,9E,Pinnacle Airlines Inc.,MCO,"Orlando, FL: Orlando International",25.0,14.0,1.83,0.0,6.78,0.0,5.4,3.0,0.0,748.0,60.0,0.0,271.0,0.0,417.0
11,2010,12,9E,Pinnacle Airlines Inc.,MIA,"Miami, FL: Miami International",4.0,2.0,0.93,0.0,1.07,0.0,0.0,0.0,0.0,132.0,102.0,0.0,30.0,0.0,0.0
12,2010,12,9E,Pinnacle Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1415.0,403.0,69.26,11.24,141.67,0.0,180.83,129.0,1.0,23867.0,5629.0,903.0,5987.0,0.0,11348.0
13,2010,12,9E,Pinnacle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",82.0,29.0,5.5,0.88,11.31,0.0,11.31,10.0,2.0,1622.0,202.0,36.0,572.0,0.0,812.0
14,2010,12,9E,Pinnacle Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",24.0,5.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,229.0,121.0,0.0,108.0,0.0,0.0
15,2010,12,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",445.0,62.0,27.29,0.34,19.24,0.0,15.12,7.0,1.0,2634.0,1393.0,21.0,749.0,0.0,471.0
16,2010,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",820.0,196.0,59.24,13.04,82.32,1.23,40.17,39.0,0.0,8886.0,2776.0,366.0,3206.0,60.0,2478.0
17,2010,12,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",273.0,45.0,20.92,1.3,12.88,0.0,9.9,7.0,0.0,2099.0,1032.0,67.0,390.0,0.0,610.0
18,2010,12,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",195.0,28.0,13.29,1.13,7.26,0.0,6.32,1.0,1.0,1260.0,741.0,43.0,195.0,0.0,281.0
19,2010,12,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",891.0,181.0,58.0,13.16,70.91,1.0,37.94,31.0,6.0,8762.0,2818.0,576.0,3030.0,37.0,2301.0
20,2010,12,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",429.0,78.0,42.29,4.34,14.65,0.0,16.71,1.0,0.0,3588.0,1834.0,261.0,472.0,0.0,1021.0
21,2010,12,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12920.0,1328.0,359.39,82.18,318.04,1.02,567.37,183.0,20.0,78799.0,28322.0,5698.0,10984.0,19.0,33776.0
22,2010,12,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",211.0,44.0,18.48,0.6,21.68,0.0,3.24,3.0,0.0,1419.0,714.0,29.0,550.0,0.0,126.0
23,2010,12,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",400.0,107.0,26.91,0.74,67.93,0.0,11.42,42.0,3.0,6729.0,1460.0,43.0,4593.0,0.0,633.0
24,2010,12,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",339.0,68.0,34.01,10.19,14.49,0.0,9.31,8.0,2.0,3134.0,1378.0,444.0,440.0,0.0,872.0
25,2010,12,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",273.0,37.0,24.48,0.0,5.33,0.97,6.22,2.0,0.0,1966.0,1299.0,0.0,319.0,35.0,313.0
26,2010,12,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1247.0,255.0,64.94,7.24,118.1,0.0,64.72,95.0,2.0,19280.0,4426.0,275.0,9958.0,0.0,4621.0
27,2010,12,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",758.0,125.0,40.4,15.29,42.83,0.0,26.48,12.0,1.0,5468.0,1980.0,825.0,1326.0,0.0,1337.0
28,2010,12,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2314.0,508.0,155.78,29.5,177.82,2.48,142.41,45.0,4.0,31284.0,11548.0,2254.0,6422.0,314.0,10746.0
29,2010,12,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1374.0,300.0,89.86,15.68,146.02,0.15,48.29,123.0,12.0,14982.0,4220.0,865.0,6727.0,8.0,3162.0
30,2010,12,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",833.0,167.0,80.68,12.81,25.94,0.0,47.57,10.0,1.0,8226.0,3868.0,669.0,999.0,0.0,2690.0
31,2010,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3937.0,698.0,260.15,60.4,173.87,3.52,200.06,85.0,7.0,41624.0,19107.0,3906.0,6513.0,121.0,11977.0
