,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2013,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1027.0,359.0,69.21,14.86,157.24,0.0,117.68,43.0,3.0,25498.0,4147.0,1686.0,11024.0,0.0,8641.0
1,2013,12,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",3100.0,897.0,151.15,40.0,326.21,0.23,379.41,51.0,1.0,61540.0,16522.0,3318.0,13031.0,15.0,28654.0
2,2013,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4471.0,904.0,173.12,43.26,288.83,2.37,396.42,82.0,2.0,59362.0,18434.0,3518.0,10279.0,89.0,27042.0
3,2013,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",236.0,61.0,20.04,3.47,18.35,0.18,18.96,9.0,0.0,4874.0,1713.0,407.0,965.0,7.0,1782.0
4,2013,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",448.0,127.0,19.8,5.02,55.51,1.47,45.2,37.0,6.0,7602.0,1986.0,273.0,2429.0,55.0,2859.0
5,2013,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",818.0,240.0,46.14,2.74,99.11,2.84,89.16,23.0,1.0,14862.0,4155.0,147.0,4086.0,92.0,6382.0
6,2013,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",259.0,59.0,21.71,4.05,15.85,0.0,17.38,19.0,0.0,3877.0,1827.0,309.0,655.0,0.0,1086.0
7,2013,12,9E,Endeavor Air Inc.,MCO,"Orlando, FL: Orlando International",42.0,9.0,3.7,0.0,5.3,0.0,0.0,0.0,0.0,445.0,342.0,0.0,103.0,0.0,0.0
8,2013,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",176.0,57.0,19.58,0.88,24.28,0.0,12.26,20.0,2.0,2984.0,1160.0,36.0,916.0,0.0,872.0
9,2013,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",132.0,29.0,8.88,1.79,9.3,0.0,9.03,4.0,0.0,1352.0,603.0,132.0,267.0,0.0,350.0
10,2013,12,9E,Endeavor Air Inc.,DEN,"Denver, CO: Denver International",41.0,16.0,4.78,0.0,9.75,0.0,1.47,0.0,0.0,802.0,363.0,0.0,343.0,0.0,96.0
11,2013,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",165.0,53.0,13.76,2.42,26.05,0.1,10.67,14.0,0.0,3265.0,967.0,128.0,1377.0,4.0,789.0
12,2013,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",201.0,72.0,13.69,3.38,34.4,0.0,20.54,8.0,2.0,4831.0,996.0,364.0,1573.0,0.0,1898.0
13,2013,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",114.0,30.0,13.17,0.72,11.64,0.0,4.46,1.0,0.0,1423.0,746.0,55.0,433.0,0.0,189.0
14,2013,12,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",139.0,39.0,10.44,0.61,22.93,0.0,5.02,12.0,1.0,3334.0,1133.0,25.0,1694.0,0.0,482.0
15,2013,12,9E,Endeavor Air Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",57.0,18.0,4.35,0.0,8.4,0.0,5.25,1.0,0.0,1483.0,349.0,0.0,321.0,0.0,813.0
16,2013,12,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1133.0,216.0,66.07,7.99,72.8,0.14,69.0,31.0,3.0,13904.0,4379.0,603.0,2671.0,9.0,6242.0
17,2013,12,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2703.0,596.0,169.05,47.19,248.23,0.0,131.52,51.0,2.0,29600.0,9396.0,3144.0,8811.0,0.0,8249.0
18,2013,12,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",13032.0,2524.0,506.22,107.33,791.5,1.51,1117.43,1389.0,27.0,156609.0,46782.0,8364.0,31441.0,36.0,69986.0
19,2013,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",894.0,183.0,54.9,15.19,61.47,0.0,51.44,31.0,3.0,9893.0,2897.0,870.0,3388.0,0.0,2738.0
20,2013,12,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",894.0,210.0,57.63,22.57,68.61,0.0,61.2,26.0,1.0,10852.0,3060.0,1278.0,2737.0,0.0,3777.0
