,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2007,12,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",109.0,46.0,19.59,1.2,17.95,0.0,7.26,1.0,0.0,2526.0,833.0,112.0,1124.0,0.0,457.0
1,2007,12,F9,Frontier Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",86.0,28.0,9.68,1.06,14.73,0.0,2.53,0.0,0.0,1225.0,352.0,31.0,704.0,0.0,138.0
2,2007,12,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",3923.0,1489.0,184.73,38.55,824.26,0.76,440.7,43.0,3.0,77662.0,11313.0,2963.0,37001.0,139.0,26246.0
3,2007,12,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",160.0,63.0,19.11,1.02,32.6,0.0,10.27,1.0,1.0,3322.0,1019.0,77.0,1652.0,0.0,574.0
4,2007,12,F9,Frontier Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",88.0,51.0,19.4,1.85,19.57,0.0,10.17,0.0,0.0,2765.0,801.0,141.0,1229.0,0.0,594.0
5,2007,12,F9,Frontier Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",93.0,31.0,11.56,0.85,15.98,0.0,2.62,0.0,0.0,1167.0,418.0,68.0,572.0,0.0,109.0
6,2007,12,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",85.0,39.0,16.64,0.98,16.57,0.0,4.81,0.0,0.0,2238.0,669.0,91.0,1060.0,0.0,418.0
7,2007,12,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",168.0,74.0,27.97,1.35,33.23,0.0,11.46,1.0,0.0,3821.0,1120.0,122.0,1699.0,0.0,880.0
8,2007,12,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",166.0,87.0,28.7,4.69,41.54,0.02,12.05,1.0,1.0,4967.0,1312.0,312.0,2296.0,5.0,1042.0
9,2007,12,F9,Frontier Airlines Inc.,LGA,"New York, NY: LaGuardia",91.0,50.0,32.31,0.2,13.17,0.0,4.32,1.0,1.0,3714.0,2474.0,37.0,911.0,0.0,292.0
10,2007,12,F9,Frontier Airlines Inc.,MCO,"Orlando, FL: Orlando International",143.0,50.0,14.65,0.44,24.86,0.0,10.05,1.0,0.0,2281.0,584.0,43.0,1156.0,0.0,498.0
11,2007,12,F9,Frontier Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",96.0,46.0,16.79,1.35,22.14,0.0,5.72,0.0,0.0,2657.0,805.0,100.0,1313.0,0.0,439.0
12,2007,12,F9,Frontier Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",59.0,23.0,14.48,0.84,6.88,0.0,0.8,0.0,0.0,1290.0,788.0,57.0,394.0,0.0,51.0
13,2007,12,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",133.0,72.0,25.88,1.24,31.73,0.0,13.14,0.0,0.0,3685.0,1235.0,54.0,1560.0,0.0,836.0
14,2007,12,F9,Frontier Airlines Inc.,SAN,"San Diego, CA: San Diego International",163.0,65.0,24.44,0.72,30.81,0.0,9.03,2.0,0.0,3341.0,965.0,74.0,1588.0,0.0,714.0
15,2007,12,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",119.0,72.0,24.08,0.37,37.23,0.0,10.32,0.0,0.0,3270.0,979.0,33.0,1623.0,0.0,635.0
16,2007,12,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",145.0,69.0,27.62,1.36,29.93,0.0,10.08,2.0,0.0,4001.0,1521.0,82.0,1844.0,0.0,554.0
17,2007,12,F9,Frontier Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",148.0,89.0,33.77,3.43,39.32,0.0,12.48,0.0,1.0,4858.0,1804.0,279.0,2006.0,0.0,769.0
18,2007,12,FL,AirTran Airways Corporation,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",7402.0,2386.0,261.21,24.84,1073.85,0.0,1026.1,133.0,11.0,114021.0,12425.0,2079.0,38003.0,0.0,61514.0
19,2007,12,FL,AirTran Airways Corporation,BOS,"Boston, MA: Logan International",621.0,151.0,20.75,1.42,58.12,0.0,70.71,28.0,2.0,8992.0,647.0,68.0,3554.0,0.0,4723.0
20,2007,12,FL,AirTran Airways Corporation,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1307.0,332.0,62.19,3.73,97.97,0.0,168.12,30.0,0.0,16682.0,2580.0,458.0,3525.0,0.0,10119.0
