,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2021,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3705.0,388.0,96.28,29.68,101.87,0.0,160.18,12.0,4.0,30500.0,10300.0,2853.0,4638.0,0.0,12709.0
1,2021,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",249.0,18.0,7.37,0.0,2.14,0.0,8.49,1.0,0.0,1784.0,875.0,0.0,111.0,0.0,798.0
2,2021,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",59.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,74.0,28.0,0.0,27.0,0.0,19.0
3,2021,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",92.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,123.0,60.0,0.0,63.0,0.0,0.0
4,2021,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",128.0,15.0,2.47,0.0,8.51,0.0,4.01,0.0,0.0,667.0,186.0,0.0,214.0,0.0,267.0
5,2021,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3.0,1.0,0.12,0.0,0.44,0.0,0.44,0.0,0.0,41.0,5.0,0.0,18.0,0.0,18.0
6,2021,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2346.0,257.0,72.5,10.37,79.78,0.0,94.35,13.0,2.0,21233.0,8757.0,1463.0,2763.0,0.0,8250.0
7,2021,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",116.0,18.0,4.35,0.97,9.33,0.0,3.35,0.0,0.0,994.0,208.0,66.0,441.0,0.0,279.0
8,2021,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1162.0,93.0,43.3,2.24,27.88,0.0,19.58,3.0,0.0,6641.0,3624.0,240.0,853.0,0.0,1924.0
9,2021,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2259.0,174.0,49.06,4.8,75.72,0.0,44.42,4.0,2.0,11040.0,3392.0,449.0,3826.0,0.0,3373.0
10,2021,12,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021,12,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1125.0,207.0,37.1,10.16,81.05,0.0,78.7,28.0,0.0,18895.0,4114.0,4131.0,2903.0,0.0,7747.0
12,2021,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",37.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0
13,2021,12,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",48.0,4.0,1.94,0.1,1.0,0.0,0.95,0.0,0.0,414.0,101.0,7.0,68.0,0.0,238.0
14,2021,12,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",718.0,130.0,60.9,0.0,19.44,1.87,47.79,1.0,0.0,10649.0,4739.0,0.0,556.0,42.0,5312.0
15,2021,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1732.0,195.0,83.64,0.0,29.63,0.89,80.84,7.0,0.0,12775.0,5761.0,0.0,810.0,16.0,6188.0
16,2021,12,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",277.0,53.0,22.76,0.0,7.48,0.95,21.81,3.0,0.0,3599.0,1432.0,0.0,311.0,100.0,1756.0
17,2021,12,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",7827.0,949.0,369.1,14.43,215.2,8.12,342.15,39.0,7.0,67795.0,31313.0,1241.0,6904.0,285.0,28052.0
