,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2009,12,9E,Pinnacle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1005.0,325.0,43.15,11.25,192.8,0.0,77.8,20.0,0.0,18908.0,3973.0,754.0,8746.0,0.0,5435.0
1,2009,12,9E,Pinnacle Airlines Inc.,BOS,"Boston, MA: Logan International",86.0,14.0,2.43,0.0,4.97,0.0,6.6,2.0,0.0,984.0,136.0,0.0,254.0,0.0,594.0
2,2009,12,9E,Pinnacle Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",29.0,11.0,2.99,0.0,7.01,0.0,1.0,0.0,0.0,529.0,243.0,0.0,197.0,0.0,89.0
3,2009,12,9E,Pinnacle Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",18.0,6.0,0.0,0.94,3.7,0.0,1.36,0.0,0.0,290.0,0.0,90.0,115.0,0.0,85.0
4,2009,12,9E,Pinnacle Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",45.0,13.0,4.62,0.98,4.55,0.0,2.84,1.0,0.0,1675.0,372.0,1001.0,147.0,0.0,155.0
5,2009,12,9E,Pinnacle Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4670.0,1140.0,194.56,19.87,537.62,1.26,386.69,150.0,2.0,56763.0,13416.0,1796.0,18000.0,43.0,23508.0
6,2009,12,9E,Pinnacle Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",13.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,83.0,0.0,0.0,83.0,0.0,0.0
7,2009,12,9E,Pinnacle Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",117.0,35.0,13.61,0.0,16.72,0.0,4.67,3.0,0.0,1703.0,987.0,0.0,497.0,0.0,219.0
8,2009,12,9E,Pinnacle Airlines Inc.,LGA,"New York, NY: LaGuardia",96.0,15.0,2.41,0.57,7.5,0.0,4.52,9.0,1.0,670.0,96.0,21.0,294.0,0.0,259.0
9,2009,12,9E,Pinnacle Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1495.0,337.0,59.19,9.27,124.07,0.0,144.48,98.0,1.0,17709.0,3731.0,745.0,5511.0,0.0,7722.0
